Title, Reason, Link, Supplier, Cost
Arduino Nano, To link the buttons and their functions to the LEDs, https://www.amazon.com/OSOYOO-ATmega328P-Module-Micro-Controller-Arduino/dp/B0BW3YLW1B/ref=sr_1_3?crid=3LBOM7J2GBPI1&dib=eyJ2IjoiMSJ9.HDW7oKmSC_eeAF6Sv4lXpg5mEIiFkwusr-WM4KXj2pG4G1M9WCEOAQBBlQI2W6347bk56jCpot_I4W0FjxLCGo4xIyrW5jyxlShWI53HMXpoqtKcs0GTSyUXP0Dg1rw3wIsMJ4oMtz0sbRS2I4qTK4kX-31y4PTcr7Cpls-czbygQjzytIlL4KFD2OpAsEty8RwL7lGoCYcY2L5auR62Fnhd1muICPqBOtU2pKRmByc.ZjcjjEcwGFdNHK-oSunKW2vfFWYxtj2Csiu9KM5TYDs&dib_tag=se&keywords=arduino%2Bnano%2Bv3.0%2Bch340&qid=1775150839&sprefix=arduino%2Bnano%2BV3.0%2BCH%2Caps%2C193&sr=8-3&th=1, Amazon, $9.99
5V RGB LED Strip, The main feature, https://lumazlife.com/products/5v-smd-5050-rgb-led-strip-light-flexible-tape-light-waterproof-with-4pin-plug?variant=45267894075544, Lumaz, $17.99
Wires, To connect everything, https://www.j-tron.com/product/70pc-jumper-wire-kit-jw-70/, J-Tron, $3.95
MOSFETs, To keep it safe and have enough power for the lights, https://www.amazon.com/ALLECIN-IRLZ44N-Transistors-IRLZ44NPBF-Mosfets/dp/B0CBKH4XGL/ref=sr_1_3?adgrpid=193180837624&dib=eyJ2IjoiMSJ9.QEe_VhJO6GGOr7qvQkG4JFb-yQ8QAVGGH2IL2N6gPXcifRaaMqawQRyaY6D84lhVuDWhKr0qf8Mb3VFZ0C_z4P2G861MgXMjT9mzBv2-d9c6l3Uower5Y2RBA_NJZGSb6zbfbMlTjIbsi2Qv3GaqdTYcZTC5R4ls6Q7s7nfMZs-IKkuz1geIcxUFgjjCq13bMHGvS19EbFp48WH_VU9qiSWEa7-586i96Qv58371vDmz58SW-fV69cdF4YEotcBBlGD8TJCQ1nAF0IMykXCdxl_szhdvCrF98WyM3oVNJqk.UeHtdXEdS8WMD_OHkdSdOR-DQcevXVZM_1Te9-Y-_i0&dib_tag=se&hvadid=779654658947&hvdev=c&hvexpln=0&hvlocphy=9032552&hvnetw=g&hvocijid=4983386083084028159--&hvqmt=e&hvrand=4983386083084028159&hvtargid=kwd-16384362&hydadcr=4319_13317386_93320&keywords=mosfets&mcid=07ca1e5ad18338988fcee0e4c1adaef8&qid=1775151264&s=industrial&sr=1-3&th=1, Amazon, $9.99
Battery Pack, To power everything, https://www.walmart.com/ip/4-AA-Slots-Battery-Spring-Clip-6V-Holder-Case-Plastic-With-On-Off-Switch-and-Lid/591169532?wmlspartner=wlpa&selectedSellerId=15715&selectedOfferId=0FBB4976BC0941EAB4C6DB640512051B&conditionGroupCode=1, Walmart, $2.78
220Ω Resistor, So I don't light on fire, https://www.amazon.com/220-Ohm-Resistor-1-Pack/dp/B0FK6N6RGP/ref=sr_1_13?dib=eyJ2IjoiMSJ9.pq8IXZtwkjU13efAoUQ016z7NCJGZDcdcQZ4-GNHnvXd_Y2U3Mei1LQsdqeGlHxA7Sj309nSpi71o6zklKI4acY9-4DV1X71n_7su6oH_40Q3D-DACI-PxMa-_5WqxZe9vjF9V6_A117ktpbvn-xzx_1lBbZupLXdYc5UGlyVt0Sv6vJH1Hvr38o5mQBELBBZ0ilsA0u1mF7TNSNOxrJck2Uxs0lqWu3cWWxXxFvLbQ.TXdpo7-2J6j6a33ZlcB3EP1NexBAp3ESq46Jmww76V0&dib_tag=se&keywords=220+ohm+resistor&qid=1775152097&sr=8-13, Amazon, $3.99
Perfboard, To keep wiring clean and permanent, https://www.flinnsci.com/solderable-perfboard-8-cm-x-11-cm/ap10014/?gad_source=1&gad_campaignid=21686733576&gbraid=0AAAAADgmIc8mLPdRr66J4Lf-nJ3K_w_5R&gclid=Cj0KCQjwp7jOBhDGARIsABe7C4dHGQSEVUliJ6XkOeg3Z9KI5Dzmz1DrF-MBwSlqv4dfS6TIKz1UDmIaAl1_EALw_wcB, Flinn Scientific, $4.49
Bluetooth Module, To connect the light to the app, https://www.amazon.com/gp/cart/view.html?ref_=nav_cart, Home Depot, $9.57
Momentary Push Buttons, To activate the modes, https://www.walmart.com/ip/Nilight-12mm-Momentary-Push-Button-Switch-6PCS-12V-Waterproof-Black-Metal-Small-Round-Power-Switches-2-Pin-Car-Automotive-Truck-Boat-Marine-Off-Road/18688300878?wmlspartner=wlpa&selectedSellerId=2348, Walmart, $9.99
LED Strip Connector, To wire it accurately, https://www.homedepot.com/p/Armacost-Lighting-4-Pin-Wire-to-Tape-Connector-Cord-6-Pack-766120/323258218?source=shoppingads&locale=en-US&fp=ggl, Home Depot, $9.57
